instance_name,m,n,w,total_golfers,problem_size,sat_runtime,sat_result,sa_runtime,sa_result,sa_repeated_pairs,best_algo
sgp_9_3_4.txt,9.0,3.0,4.0,27.0,108.0,0.023699,4.0,0.8213639259338379,4.0,0.0,sat
sgp_8_7_9.txt,8.0,7.0,9.0,56.0,504.0,,,2.83034086227417,9.0,313.0,sa
sgp_9_3_13.txt,9.0,3.0,13.0,27.0,351.0,,,1.2350759506225586,13.0,31.0,sa
sgp_9_4_10.txt,9.0,4.0,10.0,36.0,360.0,,,1.496739149093628,10.0,41.0,sa
sgp_8_8_8.txt,8.0,8.0,8.0,64.0,512.0,,,3.0701889991760254,8.0,332.0,sa
sgp_9_4_3.txt,9.0,4.0,3.0,36.0,108.0,0.0317359999999999,3.0,0.8464610576629639,3.0,0.0,sat
sgp_9_4_11.txt,9.0,4.0,11.0,36.0,396.0,,,1.5187170505523682,11.0,68.0,sa
sgp_9_4_4.txt,9.0,4.0,4.0,36.0,144.0,0.0515309999999999,4.0,0.9465978145599364,4.0,0.0,sat
sgp_9_5_3.txt,9.0,5.0,3.0,45.0,135.0,0.0482409999999999,3.0,0.9930968284606934,3.0,0.0,sat
sgp_9_5_4.txt,9.0,5.0,4.0,45.0,180.0,0.1253619999999999,4.0,2.1110129356384277,4.0,0.0,sat
sgp_9_6_3.txt,9.0,6.0,3.0,54.0,162.0,0.1048490000000001,3.0,2.4001379013061523,3.0,0.0,sat
sgp_8_8_9.txt,8.0,8.0,9.0,64.0,576.0,,,4.761356830596924,9.0,471.0,sa
sgp_9_6_4.txt,9.0,6.0,4.0,54.0,216.0,0.188339,4.0,3.2217659950256348,4.0,2.0,sat
sgp_9_5_11.txt,9.0,5.0,11.0,45.0,495.0,,,4.300894021987915,11.0,164.0,sa
sgp_9_5_10.txt,9.0,5.0,10.0,45.0,450.0,,,3.6413698196411137,10.0,120.0,sa
sgp_9_7_3.txt,9.0,7.0,3.0,63.0,189.0,0.1217209999999999,3.0,2.45336389541626,3.0,0.0,sat
sgp_9_6_10.txt,9.0,6.0,10.0,54.0,540.0,,,3.975811958312988,10.0,241.0,sa
sgp_9_6_9.txt,9.0,6.0,9.0,54.0,486.0,,,3.831390142440796,9.0,178.0,sa
sgp_9_8_3.txt,9.0,8.0,3.0,72.0,216.0,1.0124999999999993,3.0,2.2779228687286377,3.0,1.0,sat
sgp_9_7_4.txt,9.0,7.0,4.0,63.0,252.0,,,2.0536820888519287,4.0,10.0,sa
sgp_9_7_10.txt,9.0,7.0,10.0,63.0,630.0,,,4.251260995864868,10.0,400.0,sa
sgp_9_7_9.txt,9.0,7.0,9.0,63.0,567.0,,,3.3563709259033203,9.0,285.0,sa
sgp_9_8_4.txt,9.0,8.0,4.0,72.0,288.0,,,1.907233953475952,4.0,24.0,sa
sgp_9_8_10.txt,9.0,8.0,10.0,72.0,720.0,,,4.347268104553223,10.0,573.0,sa
sgp_9_8_9.txt,9.0,8.0,9.0,72.0,648.0,,,3.582160711288452,9.0,452.0,sa
,,,,,,,,,,,
